Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox ,,,,,,,,,,,,,,,
Medium:Water,,,,,,,,,,,,,,,
Parameters: all ,,,,,,,,,,,,,,,
Project: Ambient,,,,,,,,,,,,,,,
Time Period:2016-05-02 ~ 2022-05-02,,,,,,,,,,,,,,,
Data was downloaded on May 23 2022 11:41 am,,,,,,,,,,,,,,,
The data contains the QA code. ,,,,,,,,,,,,,,,
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
EL1.9EC,,Ammonia Nitrogen,9/13/16 9:30,0.05,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/11/16 9:15,0.12,,mg/L,,Duplicate Site; bank erosion from hurricane matthew Duplicate,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/11/16 9:15,0.11,,mg/L,,Duplicate Site; bank erosion from hurricane matthew Duplicate,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,11/8/16 9:35,0.05,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,12/6/16 9:30,0.04,U,mg/L,,Raining,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,1/19/17 10:30,0.08,,mg/L,, ,Yes,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2/14/17 10:15,0.04,U,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/14/17 10:05,0.07,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,4/11/17 9:34,0.07,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,5/16/17 9:40,0.09,,mg/L,,"Duplicate Site, merky water Duplicate",No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,5/16/17 9:40,0.08,,mg/L,,"Duplicate Site, merky water Duplicate",No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,6/13/17 9:00,0.04,U,mg/L,, ,No,Partly Cloudy,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,7/11/17 9:50,0.05,,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,8/15/17 9:40,0.13,J7,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,9/12/17 10:00,0.06,,mg/L,, ,Yes,Overcast,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/10/17 10:00,0.04,U,mg/L,, ,Yes,Overcast,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,11/7/17 10:05,0.04,U,mg/L,, ,No,Overcast,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,12/5/17 10:20,0.04,U,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,1/2/18 9:45,0.04,U,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2/6/18 9:55,0.05,,mg/L,,Duplicate Site Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2/6/18 9:55,0.03,U,mg/L,,Duplicate Site Duplicate,Yes,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/6/18 9:10,0.04,U,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,4/3/18 9:45,0.89,,mg/L,,SSO upstream,,,,,,,Ambient
